time_s,gaze_x,gaze_y,gaze_z,pupil_size_mm,head_x,head_y,head_z
2.2359,0.0,0.0,1.0,0.0,-0.06,1.6,-8.643
2.2493,0.0,0.0,1.0,0.0,-0.06,1.6,-8.644
2.2632,0.0,0.0,1.0,0.0,-0.06,1.6,-8.644
2.2781,0.0,0.0,1.0,0.0,-0.059,1.6,-8.644
2.2915,0.0,0.0,1.0,0.0,-0.059,1.6,-8.644
2.3054,0.0,0.0,1.0,0.0,-0.059,1.6,-8.645
2.3189,0.0,0.0,1.0,0.0,-0.059,1.6,-8.645
2.3331,0.0,0.0,1.0,0.0,-0.059,1.6,-8.645
2.3475,0.0,0.0,1.0,0.0,-0.058,1.6,-8.645
2.3614,0.0,0.0,1.0,0.0,-0.058,1.6,-8.646
2.3755,0.0,0.0,1.0,0.0,-0.057,1.6,-8.646
2.3898,0.0,0.0,1.0,0.0,-0.056,1.6,-8.646
2.4027,0.0,0.0,1.0,0.0,-0.056,1.6,-8.647
2.417,0.0,0.0,1.0,0.0,-0.056,1.6,-8.647
2.4304,0.0,0.0,1.0,0.0,-0.056,1.6,-8.647
2.4442,0.0,0.0,1.0,0.0,-0.055,1.6,-8.647
2.4576,0.0,0.0,1.0,0.0,-0.054,1.6,-8.647
2.4733,0.0,0.0,1.0,0.0,-0.054,1.6,-8.647
2.4868,0.0,0.0,1.0,0.0,-0.054,1.6,-8.647
2.4995,0.0,0.0,1.0,0.0,-0.054,1.6,-8.647
2.5133,0.0,0.0,1.0,0.0,-0.053,1.6,-8.647
2.5276,0.0,0.0,1.0,0.0,-0.053,1.6,-8.647
2.5416,0.0,0.0,1.0,0.0,-0.052,1.6,-8.647
2.5555,0.0,0.0,1.0,0.0,-0.052,1.6,-8.647
2.5693,0.0,0.0,1.0,0.0,-0.052,1.6,-8.648
2.5831,0.0,0.0,1.0,0.0,-0.052,1.6,-8.647
2.5975,0.0,0.0,1.0,0.0,-0.052,1.6,-8.648
2.6118,0.0,0.0,1.0,0.0,-0.052,1.6,-8.648
2.625,0.0,0.0,1.0,0.0,-0.052,1.6,-8.649
2.6392,0.0,0.0,1.0,0.0,-0.052,1.6,-8.649
2.6527,0.0,0.0,1.0,0.0,-0.052,1.6,-8.649
2.6663,0.0,0.0,1.0,0.0,-0.052,1.6,-8.649
2.68,0.0,0.0,1.0,0.0,-0.052,1.6,-8.649
2.6943,0.0,0.0,1.0,0.0,-0.052,1.6,-8.65
2.7089,0.0,0.0,1.0,0.0,-0.052,1.6,-8.65
2.7223,0.0,0.0,1.0,0.0,-0.052,1.6,-8.65
2.7362,0.0,0.0,1.0,0.0,-0.052,1.6,-8.651
2.7496,0.0,0.0,1.0,0.0,-0.052,1.6,-8.651
2.7634,0.0,0.0,1.0,0.0,-0.052,1.6,-8.651
2.7774,0.0,0.0,1.0,0.0,-0.051,1.6,-8.651
2.7919,0.0,0.0,1.0,0.0,-0.051,1.6,-8.651
